NOM DANS LISTING,ADRESSE,Latitude,Longitude,Zone
MAISON DE RETRAITE LA MADELON,"2 avenue de la Cave Coopérative, 34660 COURNONSEC",43.548231,3.701542,2
OFFICE DE TOURISME,"2 place de la République, 34440 NISSAN LEZ ENSERUNE",43.2893485,3.1285284,2
AEROPORT,"RD 612, 34420 PORTIRAGNES",43.2934967,3.3602364,2
,"10 Cr De la Place, 34 725 Saint-André-de-Sangonis",43.6489120,3.5028192,13
CARREFOUR MARKET,"Route de Montpellier, 34140 MEZE",43.4309116,3.5659536,2
CAVES CALMELS,"40 avenue Pierre Verdier, 34500 BEZIERS",43.3446141,3.2322711,1
CAVES CALMELS,"40 avenue Pierre Verdier, 34500 BEZIERS",43.3446141,3.2322711,1
CENTRE DE SANTE DENTAIRE,"19 rue Paul Valery , 34200 SETE",43.4017793,3.6967980,3
CINEMA LE COMOEDIA,"Esplanade Aristide Briand, 34200 SETE",43.400561,3.697451,3
CONSERVATOIRE DE THEATRE ET DE DANSE,"Rue Sétif, 34500 BEZIERS",43.3338310,3.2586646,2
EHPAD RESIDENCE LE GRAND CHAI,"15 avenue des Bains, 34540 BALARUC LE VIEUX",43.4584890,3.6861148,3
INTERMARCHE LES PORTES DU MUSCAT,"91 avenue Maréchal Juin, 34110 FRONTIGNAN",43.4298560,3.7308551,3
INTERMARCHE MEZE,"Avenue du Général de Gaulle, 34140 MEZE",43.4259295,3.6026719,2
LABOSUD BEZIERS MONTIMARAN,"5 rue Docteur Fleming, 34500 BEZIERS",43.3368512,3.2566912,2
MAIRIE DE BESSAN,"Place de la mairie , 34550 BESSAN",43.3616367,3.4277247,2
MAIRIE DE BOUZIGUES,"33 rue de la République, 34140 BOUZIGUES",43.4477493,3.6592632,2
MAIRIE DE CERS,"9 avenue de la promenade , 34420 CERS",43.3218558,3.3044843,2
MAIRIE DE LOUPIAN,"1 place Charles de Gaulle, 34140 LOUPIAN",43.450050,3.614041,2
MAIRIE DE MARSEILLAN,"1 Rue Général de Gaulle, 34340 MARSEILLAN",43.3559700,3.5274864,2
MAIRIE DE MIREVAL,"7 place Louis Aragon, 34110 MIREVAL",43.5078326,3.8014382,3
MAIRIE DE MONTBAZIN,"Place de la Mairie, 34770 MONTBAZIN",43.5161669,3.6945775,2
MAIRIE DE POMEROLS,"Place de la mairie, 34810 POMEROLS",43.3908544,3.4989718,2
MAIRIE DE POUSSAN,"1 place de la mairie, 34560 POUSSAN",43.4870393,3.6670882,2
MAIRIE DE SAINT THIBERY,"Place de la Mairie, 34630 SAINT THIBERY",43.3967065,3.4181152,2
MAIRIE DE SETE,"20 bis rue Paul Valery, 34200 SETE",43.4016831,3.6958310,3
MAIRIE DE VALRAS PLAGE,"10 allées De Gaulle, 34350 VALRAS PLAGE",43.247953,3.286121,2
MAIRIE DE VIAS,"6 place des Arènes, 34450 VIAS",43.3131490,3.4183181,2
